Date,Price,Open,High,Low,Vol,Change%
"Oct 07, 2011",899.81,899.81,899.81,899.81,-,-0.68%
"Oct 10, 2011",926.03,926.03,926.03,926.03,-,2.91%
"Oct 11, 2011",934.48,934.48,934.48,934.48,-,0.91%
"Oct 12, 2011",955.29,955.29,955.29,955.29,-,2.23%
"Oct 13, 2011",930.62,930.62,930.62,930.62,-,-2.58%
"Oct 14, 2011",933.22,933.22,933.22,933.22,-,0.28%
"Oct 17, 2011",930.77,930.77,930.77,930.77,-,-0.26%
"Oct 18, 2011",920.78,920.78,920.78,920.78,-,-1.07%
"Oct 19, 2011",931.75,931.75,931.75,931.75,-,1.19%
"Oct 20, 2011",907.45,907.45,907.45,907.45,-,-2.61%
"Oct 21, 2011",927.44,927.44,927.44,927.44,-,2.20%
"Oct 24, 2011",950.37,950.37,950.37,950.37,-,2.47%
"Oct 25, 2011",939.83,939.83,939.83,939.83,-,-1.11%
"Oct 26, 2011",936.73,936.73,936.73,936.73,-,-0.33%
"Oct 27, 2011","1,011.17","1,011.17","1,011.17","1,011.17",-,7.95%
"Oct 28, 2011","1,010.92","1,010.92","1,010.92","1,010.92",-,-0.02%
"Oct 31, 2011",969.93,969.93,969.93,969.93,-,-4.05%
"Nov 01, 2011",935.73,935.73,935.73,935.73,-,-3.53%
"Nov 02, 2011",942.55,942.55,942.55,942.55,-,0.73%
"Nov 03, 2011",945.3,945.3,945.3,945.3,-,0.29%
"Nov 04, 2011",940.82,940.82,940.82,940.82,-,-0.47%
"Nov 07, 2011",927.74,927.74,927.74,927.74,-,-1.39%
"Nov 08, 2011",937.46,937.46,937.46,937.46,-,1.05%
"Nov 09, 2011",890.87,890.87,890.87,890.87,-,-4.97%
"Nov 10, 2011",881.06,881.06,881.06,881.06,-,-1.10%
"Nov 11, 2011",900.2,900.2,900.2,900.2,-,2.17%
"Nov 14, 2011",890.65,890.65,890.65,890.65,-,-1.06%
"Nov 15, 2011",882.11,882.11,882.11,882.11,-,-0.96%
"Nov 16, 2011",872.13,872.13,872.13,872.13,-,-1.13%
"Nov 17, 2011",851.79,851.79,851.79,851.79,-,-2.33%
"Nov 18, 2011",844.96,844.96,844.96,844.96,-,-0.80%
"Nov 21, 2011",818.14,818.14,818.14,818.14,-,-3.17%
"Nov 22, 2011",818.95,818.95,818.95,818.95,-,0.10%
"Nov 23, 2011",805.23,805.23,805.23,805.23,-,-1.68%
"Nov 24, 2011",814.56,814.56,814.56,814.56,-,1.16%
"Nov 25, 2011",820.57,820.57,820.57,820.57,-,0.74%
"Nov 28, 2011",861.52,861.52,861.52,861.52,-,4.99%
"Nov 29, 2011",857.61,857.61,857.61,857.61,-,-0.45%
"Nov 30, 2011",885.63,885.63,885.63,885.63,-,3.27%
"Dec 01, 2011",885.48,885.48,885.48,885.48,-,-0.02%
"Dec 02, 2011",920.24,920.24,920.24,920.24,-,3.93%
"Dec 05, 2011",933.35,933.35,933.35,933.35,-,1.42%
"Dec 06, 2011",921.18,921.18,921.18,921.18,-,-1.30%
"Dec 07, 2011",920.95,920.95,920.95,920.95,-,-0.02%
"Dec 08, 2011",900.28,900.28,900.28,900.28,-,-2.24%
"Dec 09, 2011",918.27,918.27,918.27,918.27,-,2.00%
"Dec 12, 2011",884.1,884.1,884.1,884.1,-,-3.72%
"Dec 13, 2011",884.6,884.6,884.6,884.6,-,0.06%
"Dec 14, 2011",858.4,858.4,858.4,858.4,-,-2.96%
"Dec 15, 2011",861.99,861.99,861.99,861.99,-,0.42%
"Dec 16, 2011",861.19,861.19,861.19,861.19,-,-0.09%
"Dec 19, 2011",850.36,850.36,850.36,850.36,-,-1.26%
"Dec 20, 2011",863.46,863.46,863.46,863.46,-,1.54%
"Dec 21, 2011",862.74,862.74,862.74,862.74,-,-0.08%
"Dec 22, 2011",879.4,879.4,879.4,879.4,-,1.93%
"Dec 23, 2011",882.41,882.41,882.41,882.41,-,0.34%
"Dec 28, 2011",873.28,873.28,873.28,873.28,-,-1.03%
"Dec 29, 2011",883.65,883.65,883.65,883.65,-,1.19%
"Dec 30, 2011",884.26,884.26,884.26,884.26,-,0.07%
"Jan 03, 2012",914.73,914.73,914.73,914.73,-,3.45%
"Jan 04, 2012",908.33,908.33,908.33,908.33,-,-0.70%
"Jan 05, 2012",900.69,900.69,900.69,900.69,-,-0.84%
"Jan 06, 2012",903.27,903.27,903.27,903.27,-,0.29%
"Jan 09, 2012",885.02,885.02,885.02,885.02,-,-2.02%
"Jan 10, 2012",913.75,913.75,913.75,913.75,-,3.25%
"Jan 11, 2012",916.7,916.7,916.7,916.7,-,0.32%
"Jan 12, 2012",920.16,920.16,920.16,920.16,-,0.38%
"Jan 13, 2012",935.09,935.09,935.09,935.09,-,1.62%
"Jan 16, 2012",937.18,937.18,937.18,937.18,-,0.22%
"Jan 17, 2012",948.29,948.29,948.29,948.29,-,1.19%
"Jan 18, 2012",950.04,950.04,950.04,950.04,-,0.18%
"Jan 19, 2012","1,002.65","1,002.65","1,002.65","1,002.65",-,5.54%
"Jan 20, 2012","1,011.55","1,011.55","1,011.55","1,011.55",-,0.89%
"Jan 23, 2012","1,016.73","1,016.73","1,016.73","1,016.73",-,0.51%
"Jan 24, 2012","1,004.68","1,004.68","1,004.68","1,004.68",-,-1.19%
"Jan 25, 2012",996.26,996.26,996.26,996.26,-,-0.84%
"Jan 26, 2012","1,014.19","1,014.19","1,014.19","1,014.19",-,1.80%
"Jan 27, 2012","1,013.35","1,013.35","1,013.35","1,013.35",-,-0.08%
"Jan 30, 2012",983.18,983.18,983.18,983.18,-,-2.98%
"Jan 31, 2012",982.3,982.3,982.3,982.3,-,-0.09%
"Feb 01, 2012","1,011.42","1,011.42","1,011.42","1,011.42",-,2.96%
"Feb 02, 2012","1,021.61","1,021.61","1,021.61","1,021.61",-,1.01%
"Feb 03, 2012","1,049.50","1,049.50","1,049.50","1,049.50",-,2.73%
"Feb 06, 2012","1,043.41","1,043.41","1,043.41","1,043.41",-,-0.58%
"Feb 07, 2012","1,052.00","1,052.00","1,052.00","1,052.00",-,0.82%
"Feb 08, 2012","1,055.27","1,055.27","1,055.27","1,055.27",-,0.31%
"Feb 09, 2012","1,058.59","1,058.59","1,058.59","1,058.59",-,0.31%
"Feb 10, 2012","1,042.41","1,042.41","1,042.41","1,042.41",-,-1.53%
"Feb 13, 2012","1,056.70","1,056.70","1,056.70","1,056.70",-,1.37%
"Feb 14, 2012","1,044.99","1,044.99","1,044.99","1,044.99",-,-1.11%
"Feb 15, 2012","1,068.38","1,068.38","1,068.38","1,068.38",-,2.24%
"Feb 16, 2012","1,069.50","1,069.50","1,069.50","1,069.50",-,0.10%
"Feb 17, 2012","1,080.96","1,080.96","1,080.96","1,080.96",-,1.07%
"Feb 20, 2012","1,090.73","1,090.73","1,090.73","1,090.73",-,0.90%
"Feb 21, 2012","1,084.39","1,084.39","1,084.39","1,084.39",-,-0.58%
"Feb 22, 2012","1,073.30","1,073.30","1,073.30","1,073.30",-,-1.02%
"Feb 23, 2012","1,079.04","1,079.04","1,079.04","1,079.04",-,0.53%
"Feb 24, 2012","1,081.55","1,081.55","1,081.55","1,081.55",-,0.23%
"Feb 27, 2012","1,051.38","1,051.38","1,051.38","1,051.38",-,-2.79%
"Feb 28, 2012","1,058.86","1,058.86","1,058.86","1,058.86",-,0.71%
"Feb 29, 2012","1,054.76","1,054.76","1,054.76","1,054.76",-,-0.39%
"Mar 01, 2012","1,074.48","1,074.48","1,074.48","1,074.48",-,1.87%
"Mar 02, 2012","1,079.48","1,079.48","1,079.48","1,079.48",-,0.47%
"Mar 05, 2012","1,063.65","1,063.65","1,063.65","1,063.65",-,-1.47%
"Mar 06, 2012","1,032.98","1,032.98","1,032.98","1,032.98",-,-2.88%
"Mar 07, 2012","1,038.72","1,038.72","1,038.72","1,038.72",-,0.56%
"Mar 08, 2012","1,046.89","1,046.89","1,046.89","1,046.89",-,0.79%
"Mar 09, 2012","1,048.81","1,048.81","1,048.81","1,048.81",-,0.18%
"Mar 12, 2012","1,040.96","1,040.96","1,040.96","1,040.96",-,-0.75%
"Mar 13, 2012","1,068.19","1,068.19","1,068.19","1,068.19",-,2.62%
"Mar 14, 2012","1,090.53","1,090.53","1,090.53","1,090.53",-,2.09%
"Mar 15, 2012","1,094.25","1,094.25","1,094.25","1,094.25",-,0.34%
"Mar 16, 2012","1,112.49","1,112.49","1,112.49","1,112.49",-,1.67%
"Mar 19, 2012","1,106.25","1,106.25","1,106.25","1,106.25",-,-0.56%
"Mar 20, 2012","1,083.35","1,083.35","1,083.35","1,083.35",-,-2.07%
"Mar 21, 2012","1,084.07","1,084.07","1,084.07","1,084.07",-,0.07%
"Mar 22, 2012","1,070.69","1,070.69","1,070.69","1,070.69",-,-1.23%
"Mar 23, 2012","1,070.98","1,070.98","1,070.98","1,070.98",-,0.03%
"Mar 26, 2012","1,074.24","1,074.24","1,074.24","1,074.24",-,0.30%
"Mar 27, 2012","1,081.40","1,081.40","1,081.40","1,081.40",-,0.67%
"Mar 28, 2012","1,069.43","1,069.43","1,069.43","1,069.43",-,-1.11%
"Mar 29, 2012","1,037.97","1,037.97","1,037.97","1,037.97",-,-2.94%
"Mar 30, 2012","1,049.76","1,049.76","1,049.76","1,049.76",-,1.14%
"Apr 02, 2012","1,056.62","1,056.62","1,056.62","1,056.62",-,0.65%
"Apr 03, 2012","1,047.62","1,047.62","1,047.62","1,047.62",-,-0.85%
"Apr 04, 2012","1,031.29","1,031.29","1,031.29","1,031.29",-,-1.56%
"Apr 05, 2012","1,026.49","1,026.49","1,026.49","1,026.49",-,-0.47%
"Apr 10, 2012",988.89,988.89,988.89,988.89,-,-3.66%
"Apr 11, 2012","1,000.94","1,000.94","1,000.94","1,000.94",-,1.22%
"Apr 12, 2012","1,023.30","1,023.30","1,023.30","1,023.30",-,2.23%
"Apr 13, 2012","1,006.03","1,006.03","1,006.03","1,006.03",-,-1.69%
"Apr 16, 2012",998.27,998.27,998.27,998.27,-,-0.77%
"Apr 17, 2012","1,029.27","1,029.27","1,029.27","1,029.27",-,3.11%
"Apr 18, 2012","1,015.27","1,015.27","1,015.27","1,015.27",-,-1.36%
"Apr 19, 2012","1,014.72","1,014.72","1,014.72","1,014.72",-,-0.05%
"Apr 20, 2012","1,020.54","1,020.54","1,020.54","1,020.54",-,0.57%
"Apr 23, 2012",996.92,996.92,996.92,996.92,-,-2.31%
"Apr 24, 2012","1,014.49","1,014.49","1,014.49","1,014.49",-,1.76%
"Apr 25, 2012","1,015.37","1,015.37","1,015.37","1,015.37",-,0.09%
"Apr 26, 2012","1,017.26","1,017.26","1,017.26","1,017.26",-,0.19%
"Apr 27, 2012","1,032.13","1,032.13","1,032.13","1,032.13",-,1.46%
"Apr 30, 2012","1,021.55","1,021.55","1,021.55","1,021.55",-,-1.03%
"May 01, 2012","1,045.00","1,045.00","1,045.00","1,045.00",-,2.30%
"May 02, 2012","1,021.31","1,021.31","1,021.31","1,021.31",-,-2.27%
"May 03, 2012","1,021.71","1,021.71","1,021.71","1,021.71",-,0.04%
"May 04, 2012","1,008.00","1,008.00","1,008.00","1,008.00",-,-1.34%
"May 08, 2012",986.22,986.22,986.22,986.22,-,-2.16%
"May 09, 2012",985.11,985.11,985.11,985.11,-,-0.11%
"May 10, 2012",998.89,998.89,998.89,998.89,-,1.40%
"May 11, 2012",990.79,990.79,990.79,990.79,-,-0.81%
"May 14, 2012",968.05,968.05,968.05,968.05,-,-2.30%
"May 15, 2012",963.97,963.97,963.97,963.97,-,-0.42%
"May 16, 2012",959.25,969.79,972.41,947.13,-,-0.49%
"May 17, 2012",930.99,959.25,963.97,926.4,-,-2.95%
"May 18, 2012",906.02,930.99,930.99,905.12,-,-2.68%
"May 21, 2012",920.29,906.02,922.23,904.35,-,1.58%
"May 22, 2012",944.99,920.29,947.38,920.29,-,2.68%
"May 23, 2012",912.67,944.99,944.99,912.67,-,-3.42%
"May 24, 2012",928.37,912.67,935.27,912.67,-,1.72%
"May 25, 2012",920.44,928.37,936.92,914.95,-,-0.85%
"May 28, 2012",917.24,920.44,935.02,914.81,-,-0.35%
"May 29, 2012",920.58,917.24,926.92,908.43,-,0.36%
"May 30, 2012",902.91,920.58,920.58,894.49,-,-1.92%
"May 31, 2012",907.8,902.91,914.29,896.44,-,0.54%
"Jun 01, 2012",897.72,907.8,918.53,895.19,-,-1.11%
"Jun 06, 2012",944.45,897.72,945.46,897.23,-,5.21%
"Jun 07, 2012",964.35,944.45,973.49,944.45,-,2.11%
"Jun 08, 2012",955.7,964.35,964.35,942.12,-,-0.90%
"Jun 11, 2012",957.51,955.7,984.97,953.72,-,0.19%
"Jun 12, 2012",967.97,957.51,969.94,948.99,-,1.09%
"Jun 13, 2012",971.98,967.97,975.96,959.63,-,0.41%
"Jun 14, 2012",978.61,971.98,980.58,965.2,-,0.68%
"Jun 15, 2012",992.95,978.61,"1,007.80",978.61,-,1.47%
"Jun 18, 2012",982.9,992.95,"1,014.51",977.88,-,-1.01%
"Jun 19, 2012","1,009.19",982.9,"1,012.86",982.78,-,2.67%
"Jun 20, 2012","1,021.81","1,009.19","1,024.69","1,008.65",-,1.25%
"Jun 21, 2012","1,008.95","1,021.81","1,025.45","1,007.93",-,-1.26%
"Jun 22, 2012","1,008.80","1,008.95","1,018.81",995.05,-,-0.01%
"Jun 25, 2012",993.16,"1,008.80","1,008.80",985.86,-,-1.55%
"Jun 26, 2012",988.81,993.16,"1,000.97",985.09,-,-0.44%
"Jun 27, 2012","1,013.90",988.81,"1,013.90",988.81,-,2.54%
"Jun 28, 2012",970.26,"1,013.90","1,015.63",950.18,-,-4.30%
"Jun 29, 2012",976.3,970.26,995.53,970.26,-,0.62%
"Jul 02, 2012",995.2,976.3,998.98,968.94,-,1.94%
"Jul 03, 2012",998.24,995.2,"1,006.88",987.8,-,0.31%
"Jul 04, 2012",993.86,998.24,998.26,981.57,-,-0.44%
"Jul 05, 2012",989.8,993.86,"1,000.50",982.31,-,-0.41%
"Jul 06, 2012",983.74,989.8,996.16,979.9,-,-0.61%
"Jul 09, 2012",977.8,983.74,989.12,973.12,-,-0.60%
"Jul 10, 2012",990.66,977.8,995.78,977.8,-,1.32%
"Jul 11, 2012",991.55,990.66,995.53,981.33,-,0.09%
"Jul 12, 2012",974.67,991.55,991.55,968.41,-,-1.70%
"Jul 13, 2012",981.66,974.67,987.76,972.83,-,0.72%
"Jul 16, 2012",973.65,981.66,981.66,970.16,-,-0.82%
"Jul 17, 2012",961.87,973.65,979.86,958.06,-,-1.21%
"Jul 18, 2012",965,961.87,968.27,953.6,-,0.33%
"Jul 19, 2012",977.85,965,978.92,964.99,-,1.33%
"Jul 20, 2012",952.35,977.85,977.85,949.39,-,-2.61%
"Jul 23, 2012",921.31,952.35,952.35,916.72,-,-3.26%
"Jul 24, 2012",910.93,921.31,931.09,908.27,-,-1.13%
"Jul 25, 2012",921.89,910.93,928.63,910.67,-,1.20%
"Jul 26, 2012",935.74,921.89,945.31,917.58,-,1.50%
"Jul 27, 2012",957.53,935.74,958.58,931.94,-,2.33%
"Jul 30, 2012",977.41,957.53,982.64,951.5,-,2.08%
"Jul 31, 2012",958.27,977.41,977.41,954.95,-,-1.96%
"Aug 01, 2012",972.74,958.27,975.15,957.66,-,1.51%
"Aug 02, 2012",959.82,972.74,989.19,957.65,-,-1.33%
"Aug 03, 2012","1,001.68",959.82,"1,007.00",959.36,-,4.36%
"Aug 06, 2012",997.88,"1,001.68","1,017.96",990.82,-,-0.38%
"Aug 07, 2012",973.1,997.88,999.19,940.08,-,-2.48%
"Aug 08, 2012",987.82,975.82,988.9,970.33,-,1.51%
"Aug 09, 2012",995.92,987.82,"1,000.30",987.82,-,0.82%
"Aug 10, 2012",994.88,995.92,"1,003.12",989.36,-,-0.10%
"Aug 13, 2012",994.84,994.88,"1,002.13",990.02,-,0.00%
"Aug 14, 2012","1,005.22",994.84,"1,005.58",994.84,-,1.04%
"Aug 15, 2012","1,008.70","1,011.39","1,016.48",999.05,-,0.35%
"Aug 16, 2012","1,016.03","1,008.70","1,017.66","1,005.43",-,0.73%
"Aug 17, 2012","1,030.15","1,016.03","1,031.56","1,016.03",-,1.39%
"Aug 20, 2012","1,019.51","1,030.15","1,039.80","1,011.20",-,-1.03%
"Aug 21, 2012","1,034.84","1,019.51","1,038.81","1,019.51",-,1.50%
"Aug 22, 2012","1,019.12","1,034.84","1,034.84","1,018.11",-,-1.52%
"Aug 23, 2012","1,013.28","1,019.12","1,029.71","1,010.50",-,-0.57%
"Aug 24, 2012","1,009.62","1,013.28","1,013.28",997.35,-,-0.36%
"Aug 28, 2012","1,013.21","1,009.62","1,015.32","1,006.49",-,0.36%
"Aug 29, 2012","1,003.34","1,013.21","1,013.21","1,000.57",-,-0.97%
"Aug 30, 2012",993.93,"1,003.34","1,003.34",989.85,-,-0.94%
"Aug 31, 2012",992.33,993.93,"1,004.52",987.02,-,-0.16%
"Sep 03, 2012",997.39,992.33,"1,001.90",990.31,-,0.51%
"Sep 04, 2012",983.33,997.39,997.39,980.32,-,-1.41%
"Sep 05, 2012",983.9,983.33,985.93,973.41,-,0.06%
"Sep 06, 2012","1,019.14",983.9,"1,023.31",983.9,-,3.58%
"Sep 07, 2012","1,042.05","1,019.14","1,042.12","1,019.14",-,2.25%
"Sep 10, 2012","1,044.35","1,042.05","1,048.12","1,035.94",-,0.22%
"Sep 11, 2012","1,051.32","1,044.35","1,052.64","1,038.49",-,0.67%
"Sep 12, 2012","1,063.64","1,051.32","1,070.44","1,050.31",-,1.17%
"Sep 13, 2012","1,066.59","1,063.64","1,068.56","1,054.59",-,0.28%
"Sep 14, 2012","1,101.92","1,066.59","1,106.87","1,066.59",-,3.31%
"Sep 17, 2012","1,099.78","1,101.92","1,104.32","1,095.31",-,-0.19%
"Sep 18, 2012","1,085.09","1,099.78","1,099.78","1,072.93",-,-1.34%
"Sep 19, 2012","1,097.47","1,085.09","1,099.16","1,084.97",-,1.14%
"Sep 20, 2012","1,091.35","1,097.47","1,097.47","1,078.92",-,-0.56%
"Sep 21, 2012","1,095.64","1,091.35","1,098.72","1,087.29",-,0.39%
"Sep 24, 2012","1,092.41","1,095.64","1,097.27","1,083.14",-,-0.29%
"Sep 25, 2012","1,091.76","1,092.41","1,095.90","1,082.97",-,-0.06%
"Sep 26, 2012","1,062.20","1,091.76","1,091.76","1,056.75",-,-2.71%
"Sep 27, 2012","1,073.54","1,062.20","1,077.55","1,062.20",-,1.07%
"Sep 28, 2012","1,061.78","1,073.54","1,080.75","1,061.78",-,-1.10%
"Oct 01, 2012","1,090.54","1,061.78","1,096.18","1,061.48",-,2.71%
"Oct 02, 2012","1,075.45","1,090.54","1,090.54","1,073.21",-,-1.38%
"Oct 03, 2012","1,081.56","1,075.45","1,084.96","1,069.52",-,0.57%
"Oct 04, 2012","1,087.50","1,081.56","1,091.66","1,078.84",-,0.55%
"Oct 05, 2012","1,100.69","1,087.50","1,106.65","1,085.70",-,1.21%
"Oct 08, 2012","1,087.75","1,100.69","1,100.69","1,084.87",-,-1.18%
"Oct 09, 2012","1,081.00","1,087.75","1,093.81","1,078.33",-,-0.62%
"Oct 10, 2012","1,081.87","1,081.00","1,090.25","1,079.94",-,0.08%
"Oct 11, 2012","1,102.81","1,081.87","1,106.95","1,080.18",-,1.94%
"Oct 12, 2012","1,104.89","1,102.81","1,118.19","1,099.38",-,0.19%
"Oct 15, 2012","1,118.73","1,104.89","1,121.35","1,102.63",-,1.25%
"Oct 16, 2012","1,146.28","1,118.73","1,146.97","1,118.73",-,2.46%
"Oct 17, 2012","1,147.09","1,146.28","1,152.13","1,141.08",-,0.07%
"Oct 18, 2012","1,148.36","1,147.09","1,154.02","1,139.99",-,0.11%
"Oct 19, 2012","1,137.82","1,148.36","1,148.36","1,136.05",-,-0.92%
"Oct 22, 2012","1,141.78","1,137.82","1,149.05","1,133.62",-,0.35%
"Oct 23, 2012","1,132.04","1,141.78","1,144.90","1,125.10",-,-0.85%
"Oct 24, 2012","1,134.90","1,138.18","1,140.18","1,125.17",-,0.25%
"Oct 25, 2012","1,144.03","1,134.90","1,154.98","1,134.42",-,0.80%
"Oct 26, 2012","1,138.50","1,144.03","1,144.03","1,129.11",-,-0.48%
"Oct 29, 2012","1,137.60","1,138.50","1,144.15","1,127.53",-,-0.08%
"Oct 30, 2012","1,144.48","1,137.60","1,145.91","1,131.88",-,0.60%
"Oct 31, 2012","1,129.13","1,144.48","1,145.67","1,129.13",-,-1.34%
"Nov 01, 2012","1,166.97","1,129.13","1,167.04","1,128.48",-,3.35%
"Nov 02, 2012","1,169.26","1,166.97","1,178.84","1,159.01",-,0.20%
"Nov 05, 2012","1,154.20","1,169.26","1,169.26","1,144.42",-,-1.29%
"Nov 06, 2012","1,165.66","1,154.20","1,165.66","1,153.77",-,0.99%
"Nov 07, 2012","1,141.52","1,166.38","1,171.62","1,141.52",-,-2.07%
"Nov 08, 2012","1,136.14","1,141.52","1,146.96","1,132.85",-,-0.47%
"Nov 09, 2012","1,126.87","1,136.14","1,137.14","1,112.75",-,-0.82%
"Nov 12, 2012","1,138.30","1,126.87","1,142.79","1,120.81",-,1.01%
"Nov 13, 2012","1,151.00","1,138.30","1,151.33","1,127.37",-,1.12%
"Nov 14, 2012","1,142.81","1,151.00","1,153.07","1,140.61",-,-0.71%
"Nov 15, 2012","1,140.79","1,142.81","1,149.88","1,133.17",-,-0.18%
"Nov 16, 2012","1,123.26","1,140.79","1,144.44","1,123.16",-,-1.54%
"Nov 19, 2012","1,167.72","1,123.26","1,169.16","1,123.26",-,3.96%
"Nov 20, 2012","1,161.31","1,167.72","1,167.73","1,146.70",-,-0.55%
"Nov 21, 2012","1,166.62","1,161.31","1,169.95","1,157.50",-,0.46%
"Nov 22, 2012","1,174.77","1,166.62","1,176.04","1,162.27",-,0.70%
"Nov 23, 2012","1,181.06","1,174.77","1,184.98","1,172.65",-,0.54%
"Nov 26, 2012","1,160.47","1,181.06","1,181.06","1,156.27",-,-1.74%
"Nov 27, 2012","1,168.46","1,160.47","1,171.47","1,160.47",-,0.69%
"Nov 28, 2012","1,168.60","1,168.46","1,169.81","1,153.76",-,0.01%
"Nov 29, 2012","1,184.78","1,168.60","1,188.71","1,168.60",-,1.38%
"Nov 30, 2012","1,190.33","1,184.78","1,198.34","1,180.66",-,0.47%
"Dec 03, 2012","1,186.27","1,190.33","1,197.35","1,184.00",-,-0.34%
"Dec 04, 2012","1,187.54","1,186.27","1,191.99","1,181.22",-,0.11%
"Dec 05, 2012","1,201.12","1,187.54","1,201.12","1,187.53",-,1.14%
"Dec 06, 2012","1,206.05","1,201.12","1,211.93","1,196.76",-,0.41%
"Dec 07, 2012","1,205.30","1,206.05","1,206.05","1,196.32",-,-0.06%
"Dec 10, 2012","1,202.44","1,205.30","1,205.92","1,193.02",-,-0.24%
"Dec 11, 2012","1,204.18","1,202.44","1,206.92","1,194.68",-,0.14%
"Dec 12, 2012","1,207.37","1,204.18","1,207.49","1,196.74",-,0.26%
"Dec 13, 2012","1,208.71","1,207.37","1,212.48","1,205.27",-,0.11%
"Dec 14, 2012","1,207.78","1,208.71","1,213.21","1,205.77",-,-0.08%
"Dec 17, 2012","1,209.07","1,207.78","1,209.07","1,198.45",-,0.11%
"Dec 18, 2012","1,213.52","1,209.07","1,216.72","1,205.56",-,0.37%
"Dec 19, 2012","1,243.89","1,213.52","1,246.34","1,213.52",-,2.50%
"Dec 20, 2012","1,242.98","1,243.89","1,247.89","1,237.44",-,-0.07%
"Dec 21, 2012","1,236.89","1,242.98","1,242.98","1,220.56",-,-0.49%
"Dec 24, 2012","1,242.34","1,236.89","1,244.16","1,235.27",-,0.44%
"Dec 27, 2012","1,244.33","1,242.34","1,256.06","1,238.35",-,0.16%
"Dec 28, 2012","1,239.23","1,244.33","1,252.42","1,233.83",-,-0.41%
"Dec 31, 2012","1,232.84","1,239.23","1,239.23","1,227.90",-,-0.52%
"Jan 02, 2013","1,272.62","1,232.84","1,277.40","1,232.84",-,3.23%
"Jan 03, 2013","1,270.24","1,272.62","1,272.76","1,266.98",-,-0.19%
"Jan 04, 2013","1,278.63","1,270.24","1,281.49","1,265.44",-,0.66%
"Jan 07, 2013","1,284.95","1,278.63","1,297.07","1,278.63",-,0.49%
"Jan 08, 2013","1,276.75","1,284.95","1,290.84","1,275.50",-,-0.64%
"Jan 09, 2013","1,307.49","1,276.75","1,314.97","1,276.75",-,2.41%
"Jan 10, 2013","1,313.32","1,307.49","1,320.62","1,306.70",-,0.45%
"Jan 11, 2013","1,325.10","1,313.32","1,325.10","1,313.32",-,0.90%
"Jan 14, 2013","1,325.44","1,325.10","1,334.36","1,323.76",-,0.03%
"Jan 15, 2013","1,323.99","1,325.44","1,329.30","1,317.78",-,-0.11%
"Jan 16, 2013","1,320.55","1,323.99","1,323.99","1,305.66",-,-0.26%
"Jan 17, 2013","1,332.51","1,320.55","1,332.61","1,319.65",-,0.91%
"Jan 18, 2013","1,336.00","1,332.51","1,339.44","1,329.05",-,0.26%
"Jan 21, 2013","1,339.70","1,336.00","1,341.62","1,333.91",-,0.28%
